A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.66,0.187,0.323,0.305,0.275,0.366,0.308,0.256,0.327,0.674,0.348,0.108,0.167,0.184,0.187,0.136,0.134,0.137,0.14,0.132,0.107,Govardhan
97.71,0.187,0.323,0.307,0.276,0.365,0.309,0.257,0.324,0.667,0.345,0.107,0.169,0.185,0.187,0.136,0.135,0.137,0.141,0.132,0.108,Govardhan
97.69,0.188,0.323,0.306,0.276,0.365,0.306,0.258,0.324,0.666,0.343,0.106,0.169,0.185,0.188,0.136,0.135,0.138,0.141,0.132,0.108,Govardhan
97.83,0.186,0.323,0.304,0.276,0.361,0.305,0.252,0.321,0.651,0.333,0.107,0.168,0.185,0.186,0.135,0.134,0.137,0.141,0.133,0.108,Govardhan
97.83,0.186,0.323,0.304,0.275,0.36,0.304,0.252,0.318,0.648,0.332,0.106,0.17,0.185,0.186,0.135,0.133,0.136,0.142,0.133,0.109,Govardhan
97.77,0.188,0.325,0.308,0.277,0.364,0.308,0.254,0.319,0.65,0.334,0.105,0.17,0.186,0.188,0.135,0.135,0.137,0.142,0.133,0.11,Govardhan
97.73,0.183,0.317,0.3,0.274,0.357,0.303,0.25,0.315,0.643,0.33,0.103,0.165,0.184,0.183,0.133,0.133,0.135,0.137,0.131,0.107,Govardhan
97.84,0.181,0.323,0.305,0.278,0.362,0.306,0.256,0.314,0.638,0.326,0.103,0.162,0.179,0.181,0.135,0.133,0.137,0.139,0.131,0.107,Govardhan
97.74,0.185,0.321,0.304,0.275,0.363,0.308,0.255,0.311,0.632,0.325,0.102,0.167,0.184,0.185,0.136,0.135,0.137,0.14,0.132,0.107,Govardhan
97.75,0.184,0.318,0.298,0.269,0.357,0.302,0.254,0.312,0.629,0.318,0.104,0.166,0.183,0.184,0.133,0.133,0.135,0.138,0.131,0.107,Govardhan
97.71,0.186,0.32,0.304,0.27,0.361,0.306,0.253,0.318,0.649,0.334,0.104,0.166,0.182,0.186,0.135,0.133,0.134,0.139,0.131,0.107,Govardhan
97.76,0.186,0.322,0.305,0.27,0.366,0.309,0.254,0.318,0.659,0.342,0.104,0.166,0.182,0.186,0.136,0.133,0.137,0.14,0.131,0.107,Govardhan
97.72,0.186,0.32,0.304,0.269,0.361,0.305,0.254,0.316,0.643,0.327,0.104,0.168,0.183,0.186,0.135,0.133,0.136,0.14,0.131,0.108,Govardhan
97.66,0.187,0.323,0.304,0.271,0.364,0.307,0.256,0.318,0.65,0.334,0.103,0.167,0.183,0.187,0.135,0.133,0.135,0.139,0.131,0.107,Govardhan
97.73,0.187,0.323,0.304,0.271,0.364,0.306,0.255,0.32,0.647,0.329,0.104,0.17,0.187,0.187,0.135,0.133,0.136,0.14,0.133,0.108,Govardhan
97.82,0.188,0.324,0.306,0.274,0.366,0.311,0.256,0.323,0.663,0.342,0.106,0.171,0.187,0.188,0.136,0.135,0.137,0.14,0.133,0.109,Govardhan
97.85,0.187,0.323,0.307,0.271,0.368,0.311,0.256,0.314,0.661,0.35,0.106,0.167,0.182,0.187,0.138,0.134,0.137,0.14,0.133,0.108,Govardhan
97.74,0.187,0.322,0.305,0.269,0.363,0.306,0.258,0.32,0.644,0.327,0.104,0.169,0.186,0.187,0.135,0.133,0.136,0.14,0.131,0.108,Govardhan
97.65,0.189,0.324,0.309,0.273,0.363,0.308,0.255,0.322,0.663,0.344,0.105,0.17,0.187,0.189,0.135,0.134,0.137,0.14,0.131,0.107,Govardhan
97.64,0.189,0.326,0.309,0.275,0.371,0.313,0.257,0.324,0.667,0.345,0.107,0.171,0.188,0.189,0.137,0.135,0.138,0.141,0.133,0.108,Govardhan
97.69,0.188,0.322,0.305,0.27,0.366,0.309,0.255,0.32,0.66,0.34,0.104,0.17,0.186,0.188,0.137,0.133,0.137,0.14,0.131,0.108,Govardhan
97.65,0.187,0.323,0.307,0.275,0.365,0.308,0.254,0.324,0.654,0.334,0.104,0.17,0.185,0.187,0.135,0.133,0.136,0.139,0.131,0.107,Govardhan
97.68,0.187,0.318,0.304,0.27,0.36,0.305,0.253,0.318,0.646,0.33,0.103,0.167,0.183,0.187,0.134,0.133,0.134,0.137,0.131,0.107,Govardhan
97.8,0.187,0.323,0.306,0.273,0.365,0.306,0.255,0.322,0.655,0.334,0.104,0.168,0.185,0.187,0.135,0.133,0.135,0.14,0.131,0.107,Govardhan
97.83,0.189,0.325,0.309,0.275,0.367,0.31,0.258,0.325,0.66,0.336,0.105,0.17,0.186,0.189,0.135,0.134,0.137,0.14,0.133,0.108,Govardhan
97.44,0.172,0.308,0.295,0.271,0.355,0.305,0.258,0.285,0.553,0.268,0.1,0.156,0.171,0.172,0.134,0.13,0.133,0.136,0.125,0.1,Sai
97.34,0.173,0.307,0.29,0.27,0.354,0.305,0.26,0.284,0.551,0.267,0.101,0.158,0.172,0.173,0.133,0.13,0.132,0.134,0.125,0.098,Sai
97.1,0.174,0.307,0.292,0.271,0.355,0.304,0.261,0.296,0.565,0.272,0.103,0.16,0.173,0.174,0.131,0.128,0.13,0.133,0.123,0.098,Sai
97.18,0.179,0.309,0.293,0.266,0.355,0.306,0.263,0.297,0.565,0.27,0.102,0.163,0.178,0.179,0.133,0.129,0.132,0.135,0.125,0.1,Sai
97.09,0.178,0.31,0.293,0.263,0.354,0.304,0.261,0.296,0.558,0.264,0.104,0.163,0.176,0.178,0.132,0.129,0.132,0.135,0.126,0.101,Sai
97.09,0.182,0.31,0.293,0.262,0.354,0.305,0.261,0.294,0.556,0.262,0.102,0.165,0.181,0.182,0.132,0.13,0.132,0.134,0.125,0.101,Sai
97.26,0.178,0.315,0.298,0.268,0.358,0.308,0.265,0.299,0.558,0.261,0.103,0.165,0.179,0.178,0.133,0.131,0.134,0.137,0.127,0.104,Sai
97.45,0.18,0.317,0.301,0.269,0.36,0.308,0.263,0.303,0.572,0.269,0.104,0.165,0.181,0.18,0.135,0.134,0.136,0.139,0.132,0.104,Sai
97.17,0.179,0.311,0.295,0.262,0.36,0.309,0.264,0.306,0.588,0.281,0.105,0.165,0.178,0.179,0.131,0.13,0.132,0.135,0.126,0.102,Sai
97.27,0.181,0.309,0.292,0.261,0.358,0.307,0.261,0.301,0.586,0.286,0.102,0.163,0.179,0.181,0.133,0.128,0.132,0.132,0.126,0.102,Sai
97.21,0.182,0.311,0.296,0.263,0.36,0.309,0.268,0.296,0.565,0.27,0.104,0.165,0.179,0.182,0.133,0.13,0.132,0.136,0.126,0.102,Sai
97.21,0.183,0.314,0.297,0.269,0.36,0.31,0.267,0.304,0.583,0.28,0.106,0.167,0.179,0.183,0.135,0.131,0.134,0.137,0.127,0.103,Sai
97.4,0.182,0.314,0.298,0.268,0.364,0.312,0.267,0.306,0.587,0.284,0.105,0.165,0.18,0.182,0.135,0.131,0.134,0.137,0.127,0.103,Sai
97.38,0.179,0.311,0.295,0.264,0.358,0.307,0.265,0.302,0.576,0.274,0.103,0.165,0.179,0.179,0.132,0.13,0.132,0.135,0.126,0.103,Sai
97.27,0.179,0.311,0.296,0.267,0.361,0.31,0.267,0.301,0.577,0.278,0.104,0.164,0.176,0.179,0.133,0.129,0.132,0.133,0.125,0.1,Sai
97.37,0.181,0.31,0.294,0.263,0.36,0.31,0.264,0.302,0.579,0.278,0.102,0.165,0.18,0.181,0.133,0.13,0.132,0.137,0.126,0.103,Sai
97.44,0.179,0.312,0.297,0.268,0.359,0.308,0.266,0.296,0.568,0.274,0.102,0.163,0.179,0.179,0.134,0.131,0.134,0.137,0.127,0.103,Sai
97.35,0.179,0.309,0.292,0.262,0.357,0.305,0.26,0.299,0.571,0.274,0.102,0.162,0.178,0.179,0.133,0.13,0.132,0.136,0.126,0.102,Sai
97.41,0.179,0.312,0.297,0.267,0.359,0.308,0.268,0.296,0.562,0.268,0.104,0.163,0.179,0.179,0.134,0.132,0.134,0.137,0.127,0.103,Sai
97.13,0.177,0.308,0.292,0.262,0.358,0.307,0.265,0.295,0.564,0.271,0.101,0.159,0.175,0.177,0.13,0.127,0.131,0.132,0.124,0.1,Sai
97.08,0.174,0.306,0.293,0.268,0.357,0.306,0.26,0.29,0.559,0.273,0.101,0.155,0.171,0.174,0.132,0.129,0.132,0.131,0.123,0.098,Sai
97.18,0.173,0.301,0.286,0.262,0.35,0.301,0.255,0.294,0.561,0.27,0.1,0.159,0.175,0.173,0.129,0.127,0.13,0.131,0.124,0.099,Sai
97.26,0.177,0.305,0.289,0.264,0.354,0.303,0.26,0.293,0.564,0.273,0.103,0.159,0.173,0.177,0.13,0.128,0.13,0.131,0.124,0.098,Sai
97.34,0.179,0.308,0.292,0.267,0.359,0.308,0.268,0.299,0.573,0.278,0.106,0.161,0.175,0.179,0.132,0.129,0.131,0.131,0.124,0.099,Sai
97.36,0.179,0.307,0.294,0.269,0.36,0.309,0.261,0.299,0.592,0.293,0.104,0.164,0.177,0.179,0.133,0.129,0.132,0.132,0.124,0.1,Sai
97.39,0.172,0.305,0.292,0.268,0.352,0.3,0.257,0.299,0.579,0.28,0.102,0.158,0.171,0.172,0.13,0.127,0.13,0.131,0.125,0.099,Sai
97.43,0.179,0.308,0.292,0.264,0.359,0.308,0.262,0.295,0.57,0.276,0.103,0.163,0.177,0.179,0.134,0.129,0.133,0.134,0.125,0.1,Sai
97.45,0.18,0.31,0.295,0.269,0.362,0.312,0.265,0.293,0.567,0.275,0.104,0.163,0.178,0.18,0.134,0.131,0.134,0.135,0.126,0.099,Sai
97.3,0.178,0.306,0.292,0.264,0.359,0.307,0.265,0.296,0.559,0.265,0.102,0.161,0.178,0.178,0.133,0.128,0.13,0.131,0.124,0.099,Sai
97.34,0.177,0.308,0.292,0.263,0.353,0.302,0.259,0.295,0.559,0.267,0.103,0.162,0.176,0.177,0.13,0.128,0.13,0.134,0.125,0.101,Sai
97.34,0.178,0.31,0.295,0.264,0.354,0.305,0.26,0.292,0.552,0.262,0.104,0.163,0.177,0.178,0.133,0.129,0.13,0.135,0.125,0.1,Sai
97.11,0.18,0.306,0.289,0.257,0.353,0.302,0.257,0.293,0.571,0.28,0.103,0.162,0.177,0.18,0.131,0.128,0.13,0.132,0.124,0.1,Sai
97.05,0.179,0.307,0.29,0.258,0.354,0.303,0.258,0.294,0.56,0.267,0.103,0.162,0.179,0.179,0.13,0.128,0.13,0.132,0.125,0.1,Sai
97.02,0.177,0.307,0.29,0.264,0.355,0.302,0.256,0.294,0.574,0.281,0.103,0.157,0.175,0.177,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.05,0.18,0.306,0.289,0.256,0.352,0.302,0.257,0.296,0.573,0.281,0.102,0.161,0.176,0.18,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.09,0.183,0.307,0.29,0.261,0.356,0.303,0.256,0.299,0.581,0.284,0.104,0.164,0.177,0.183,0.131,0.128,0.13,0.132,0.123,0.099,Sai
97.14,0.177,0.303,0.289,0.261,0.356,0.303,0.256,0.297,0.579,0.287,0.103,0.158,0.173,0.177,0.13,0.128,0.13,0.131,0.123,0.098,Sai
97.15,0.18,0.304,0.289,0.261,0.352,0.303,0.256,0.292,0.577,0.287,0.103,0.16,0.175,0.18,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.16,0.183,0.307,0.291,0.262,0.355,0.303,0.256,0.295,0.581,0.285,0.101,0.163,0.177,0.183,0.131,0.128,0.13,0.133,0.124,0.099,Sai
97.04,0.179,0.301,0.286,0.256,0.35,0.301,0.255,0.291,0.568,0.278,0.1,0.161,0.176,0.179,0.129,0.126,0.128,0.13,0.123,0.098,Sai
97.08,0.183,0.303,0.288,0.26,0.356,0.304,0.257,0.293,0.572,0.282,0.105,0.163,0.177,0.183,0.131,0.127,0.13,0.131,0.123,0.098,Sai
97.21,0.184,0.306,0.289,0.259,0.356,0.304,0.259,0.292,0.568,0.28,0.103,0.164,0.18,0.184,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.08,0.178,0.306,0.29,0.261,0.353,0.302,0.256,0.295,0.575,0.284,0.102,0.16,0.175,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.13,0.181,0.306,0.291,0.263,0.355,0.304,0.256,0.295,0.574,0.282,0.102,0.162,0.177,0.181,0.132,0.128,0.13,0.131,0.123,0.099,Sai
97.22,0.181,0.308,0.291,0.263,0.354,0.304,0.257,0.292,0.565,0.273,0.103,0.162,0.178,0.181,0.132,0.128,0.13,0.134,0.125,0.1,Sai
97.15,0.178,0.303,0.289,0.259,0.351,0.303,0.256,0.292,0.559,0.27,0.101,0.163,0.178,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.14,0.177,0.309,0.293,0.265,0.356,0.304,0.253,0.29,0.564,0.275,0.102,0.161,0.177,0.177,0.131,0.128,0.13,0.134,0.124,0.1,Sai
97.29,0.178,0.31,0.294,0.267,0.359,0.307,0.26,0.293,0.565,0.272,0.103,0.162,0.177,0.178,0.133,0.128,0.13,0.135,0.125,0.1,Sai
97.23,0.181,0.31,0.294,0.265,0.357,0.308,0.257,0.294,0.577,0.285,0.104,0.163,0.178,0.181,0.133,0.129,0.131,0.135,0.125,0.1,Sai
97.22,0.179,0.308,0.293,0.266,0.357,0.306,0.259,0.292,0.574,0.283,0.102,0.162,0.177,0.179,0.133,0.129,0.132,0.134,0.124,0.099,Sai
97.29,0.182,0.309,0.293,0.266,0.358,0.306,0.26,0.293,0.572,0.28,0.103,0.163,0.178,0.182,0.134,0.131,0.132,0.135,0.125,0.1,Sai
97.17,0.178,0.303,0.289,0.262,0.352,0.302,0.256,0.29,0.559,0.271,0.101,0.159,0.175,0.178,0.13,0.127,0.13,0.131,0.124,0.099,Sai
97.27,0.178,0.31,0.295,0.264,0.355,0.304,0.256,0.291,0.566,0.275,0.101,0.162,0.177,0.178,0.133,0.129,0.13,0.135,0.125,0.1,Sai
97.28,0.178,0.309,0.294,0.264,0.355,0.304,0.258,0.291,0.565,0.274,0.103,0.161,0.177,0.178,0.133,0.129,0.13,0.135,0.125,0.099,Sai
97.22,0.178,0.305,0.29,0.262,0.352,0.302,0.257,0.287,0.554,0.27,0.102,0.161,0.176,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.2,0.178,0.308,0.293,0.263,0.355,0.302,0.257,0.292,0.561,0.27,0.102,0.162,0.176,0.178,0.133,0.128,0.13,0.132,0.123,0.099,Sai
97.23,0.178,0.307,0.293,0.263,0.354,0.302,0.258,0.29,0.561,0.272,0.103,0.163,0.176,0.178,0.133,0.128,0.13,0.134,0.124,0.099,Sai
97.34,0.18,0.309,0.293,0.264,0.356,0.305,0.258,0.29,0.564,0.277,0.102,0.162,0.177,0.18,0.133,0.13,0.132,0.135,0.125,0.102,Sai
97.18,0.18,0.31,0.293,0.264,0.358,0.308,0.256,0.292,0.582,0.292,0.105,0.161,0.175,0.18,0.134,0.131,0.132,0.135,0.125,0.099,Sai
97.15,0.177,0.307,0.291,0.265,0.355,0.302,0.257,0.292,0.565,0.277,0.102,0.159,0.175,0.177,0.132,0.128,0.13,0.133,0.124,0.099,Sai
97.26,0.178,0.307,0.293,0.262,0.355,0.304,0.257,0.292,0.57,0.281,0.103,0.161,0.176,0.178,0.132,0.128,0.13,0.134,0.124,0.099,Sai
97.24,0.179,0.307,0.292,0.264,0.355,0.303,0.257,0.291,0.572,0.284,0.105,0.162,0.176,0.179,0.133,0.128,0.13,0.134,0.124,0.099,Sai
97.23,0.178,0.307,0.293,0.264,0.355,0.305,0.255,0.292,0.578,0.29,0.103,0.161,0.176,0.178,0.133,0.129,0.13,0.134,0.124,0.099,Sai
97.26,0.179,0.309,0.293,0.262,0.356,0.305,0.257,0.291,0.57,0.281,0.103,0.162,0.176,0.179,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.28,0.18,0.308,0.293,0.262,0.355,0.304,0.258,0.29,0.562,0.274,0.103,0.162,0.177,0.18,0.133,0.128,0.13,0.135,0.125,0.099,Sai
97.22,0.178,0.308,0.293,0.264,0.356,0.305,0.257,0.291,0.575,0.287,0.104,0.161,0.175,0.178,0.133,0.129,0.13,0.134,0.124,0.099,Sai
97.29,0.181,0.311,0.296,0.263,0.357,0.306,0.259,0.294,0.571,0.28,0.104,0.162,0.178,0.181,0.133,0.129,0.132,0.135,0.125,0.099,Sai
97.32,0.183,0.309,0.293,0.266,0.359,0.308,0.26,0.293,0.58,0.288,0.106,0.163,0.178,0.183,0.134,0.131,0.132,0.135,0.125,0.1,Sai
97.19,0.178,0.307,0.291,0.266,0.354,0.302,0.257,0.294,0.575,0.284,0.104,0.161,0.176,0.178,0.131,0.128,0.13,0.131,0.122,0.098,Sai
97.28,0.18,0.308,0.293,0.268,0.36,0.308,0.257,0.29,0.57,0.282,0.105,0.163,0.176,0.18,0.134,0.13,0.132,0.135,0.124,0.099,Sai
97.16,0.181,0.306,0.293,0.271,0.358,0.306,0.256,0.294,0.578,0.286,0.103,0.162,0.176,0.181,0.134,0.129,0.131,0.133,0.123,0.099,Sai
97.08,0.178,0.305,0.29,0.266,0.356,0.303,0.254,0.295,0.591,0.298,0.102,0.161,0.175,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.41,0.18,0.308,0.293,0.264,0.359,0.307,0.259,0.295,0.572,0.278,0.105,0.162,0.177,0.18,0.133,0.128,0.13,0.135,0.125,0.102,Sai
97.08,0.179,0.304,0.289,0.268,0.356,0.305,0.254,0.296,0.592,0.3,0.104,0.16,0.174,0.179,0.131,0.127,0.13,0.13,0.121,0.098,Sai
97.24,0.178,0.306,0.291,0.266,0.356,0.305,0.256,0.291,0.568,0.279,0.101,0.161,0.175,0.178,0.132,0.128,0.13,0.131,0.123,0.099,Sai
97.19,0.178,0.303,0.289,0.266,0.354,0.302,0.255,0.294,0.577,0.285,0.102,0.161,0.175,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.12,0.178,0.307,0.292,0.265,0.354,0.302,0.257,0.294,0.576,0.282,0.102,0.161,0.176,0.178,0.131,0.128,0.13,0.133,0.124,0.099,Sai
97.24,0.18,0.306,0.289,0.262,0.354,0.303,0.255,0.29,0.563,0.273,0.103,0.164,0.178,0.18,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.27,0.178,0.307,0.293,0.264,0.355,0.303,0.256,0.294,0.567,0.275,0.103,0.163,0.176,0.178,0.13,0.128,0.13,0.133,0.124,0.099,Sai
97.23,0.178,0.307,0.291,0.263,0.354,0.303,0.257,0.292,0.568,0.278,0.103,0.162,0.176,0.178,0.13,0.127,0.13,0.132,0.124,0.099,Sai
97.18,0.176,0.302,0.288,0.262,0.352,0.301,0.254,0.291,0.569,0.279,0.101,0.158,0.174,0.176,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.3,0.178,0.307,0.292,0.263,0.355,0.304,0.257,0.29,0.567,0.28,0.104,0.161,0.176,0.178,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.23,0.178,0.307,0.291,0.263,0.353,0.303,0.255,0.29,0.559,0.27,0.102,0.162,0.176,0.178,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.28,0.178,0.307,0.292,0.262,0.353,0.302,0.256,0.293,0.558,0.27,0.102,0.162,0.176,0.178,0.131,0.128,0.13,0.134,0.124,0.099,Sai
97.16,0.178,0.302,0.287,0.257,0.35,0.299,0.256,0.29,0.555,0.268,0.102,0.161,0.176,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.31,0.178,0.31,0.292,0.262,0.356,0.304,0.26,0.293,0.565,0.274,0.104,0.161,0.175,0.178,0.133,0.129,0.13,0.135,0.124,0.099,Sai
97.2,0.179,0.308,0.293,0.263,0.357,0.304,0.262,0.29,0.559,0.272,0.103,0.161,0.177,0.179,0.134,0.129,0.131,0.133,0.123,0.099,Sai
97.29,0.183,0.31,0.293,0.264,0.361,0.309,0.26,0.293,0.575,0.282,0.106,0.162,0.177,0.183,0.134,0.13,0.132,0.135,0.124,0.099,Sai
97.18,0.181,0.307,0.291,0.263,0.355,0.303,0.257,0.296,0.582,0.287,0.103,0.161,0.176,0.181,0.131,0.128,0.13,0.133,0.123,0.099,Sai
97.26,0.181,0.309,0.293,0.264,0.357,0.307,0.26,0.292,0.57,0.278,0.102,0.162,0.177,0.181,0.134,0.129,0.132,0.135,0.125,0.099,Sai
97.28,0.178,0.306,0.292,0.263,0.356,0.304,0.256,0.293,0.573,0.282,0.102,0.162,0.175,0.178,0.133,0.128,0.13,0.133,0.124,0.099,Sai
97.13,0.178,0.302,0.288,0.261,0.35,0.299,0.255,0.294,0.571,0.28,0.101,0.16,0.175,0.178,0.129,0.127,0.13,0.131,0.123,0.098,Sai
97.18,0.179,0.305,0.288,0.259,0.352,0.302,0.256,0.294,0.569,0.278,0.103,0.161,0.175,0.179,0.13,0.127,0.13,0.131,0.123,0.098,Sai
97.3,0.179,0.31,0.292,0.263,0.356,0.304,0.259,0.296,0.565,0.271,0.104,0.163,0.178,0.179,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.12,0.178,0.302,0.288,0.259,0.351,0.302,0.251,0.294,0.579,0.287,0.1,0.159,0.175,0.178,0.13,0.127,0.129,0.131,0.123,0.099,Sai
97.24,0.18,0.308,0.291,0.259,0.354,0.304,0.256,0.294,0.568,0.277,0.101,0.163,0.178,0.18,0.131,0.127,0.13,0.134,0.125,0.099,Sai
97.2,0.178,0.305,0.291,0.259,0.353,0.302,0.256,0.294,0.567,0.271,0.101,0.162,0.177,0.178,0.13,0.127,0.13,0.133,0.124,0.099,Sai
97.24,0.181,0.308,0.291,0.259,0.355,0.303,0.254,0.297,0.575,0.279,0.101,0.162,0.178,0.181,0.131,0.128,0.13,0.134,0.125,0.1,Sai
97.18,0.18,0.306,0.291,0.259,0.352,0.303,0.256,0.293,0.57,0.278,0.101,0.162,0.177,0.18,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.21,0.181,0.307,0.291,0.258,0.353,0.304,0.256,0.29,0.564,0.272,0.102,0.163,0.179,0.181,0.131,0.127,0.13,0.133,0.124,0.099,Sai
97.06,0.181,0.306,0.289,0.258,0.351,0.301,0.254,0.294,0.569,0.277,0.101,0.161,0.177,0.181,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.19,0.179,0.305,0.288,0.255,0.352,0.302,0.254,0.292,0.566,0.273,0.101,0.162,0.177,0.179,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.15,0.178,0.305,0.287,0.255,0.351,0.3,0.254,0.293,0.564,0.273,0.101,0.162,0.176,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.14,0.179,0.303,0.288,0.255,0.35,0.299,0.255,0.29,0.558,0.268,0.102,0.162,0.178,0.179,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.14,0.179,0.303,0.287,0.253,0.349,0.299,0.255,0.29,0.565,0.276,0.1,0.161,0.177,0.179,0.129,0.127,0.129,0.131,0.123,0.099,Sai
97.15,0.178,0.302,0.288,0.255,0.35,0.299,0.254,0.29,0.561,0.272,0.101,0.161,0.177,0.178,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.17,0.178,0.302,0.287,0.255,0.349,0.299,0.253,0.291,0.557,0.266,0.1,0.162,0.178,0.178,0.129,0.127,0.129,0.131,0.123,0.099,Sai
97.06,0.178,0.301,0.286,0.255,0.349,0.298,0.254,0.29,0.561,0.272,0.099,0.161,0.177,0.178,0.129,0.126,0.129,0.131,0.123,0.099,Sai
97.06,0.178,0.301,0.286,0.256,0.35,0.298,0.253,0.294,0.569,0.277,0.099,0.16,0.175,0.178,0.129,0.125,0.128,0.13,0.122,0.098,Sai
97.12,0.179,0.301,0.286,0.256,0.35,0.299,0.253,0.292,0.57,0.281,0.1,0.162,0.176,0.179,0.129,0.126,0.128,0.131,0.122,0.098,Sai
97.06,0.175,0.307,0.293,0.264,0.358,0.306,0.256,0.29,0.563,0.273,0.102,0.158,0.174,0.175,0.131,0.128,0.13,0.131,0.123,0.098,Sai
97.11,0.178,0.308,0.293,0.266,0.358,0.307,0.258,0.292,0.564,0.273,0.101,0.159,0.177,0.178,0.132,0.129,0.131,0.133,0.124,0.099,Sai
97.14,0.178,0.303,0.288,0.259,0.353,0.303,0.253,0.29,0.563,0.275,0.101,0.16,0.176,0.178,0.132,0.128,0.13,0.131,0.123,0.099,Sai
97.07,0.178,0.303,0.288,0.259,0.351,0.301,0.256,0.293,0.568,0.276,0.101,0.161,0.176,0.178,0.13,0.127,0.13,0.13,0.122,0.098,Sai
97.21,0.18,0.305,0.289,0.258,0.351,0.302,0.257,0.291,0.558,0.27,0.103,0.163,0.178,0.18,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.3,0.18,0.307,0.291,0.26,0.356,0.304,0.257,0.291,0.567,0.277,0.102,0.162,0.177,0.18,0.133,0.128,0.13,0.134,0.124,0.099,Sai
97.21,0.178,0.305,0.289,0.262,0.355,0.303,0.258,0.294,0.562,0.271,0.102,0.161,0.176,0.178,0.132,0.128,0.13,0.131,0.123,0.099,Sai
97.28,0.18,0.306,0.288,0.261,0.354,0.303,0.257,0.29,0.561,0.273,0.102,0.161,0.177,0.18,0.132,0.128,0.13,0.131,0.123,0.099,Sai
97.13,0.178,0.304,0.288,0.263,0.35,0.3,0.255,0.296,0.58,0.29,0.101,0.159,0.174,0.178,0.131,0.126,0.128,0.13,0.121,0.097,Sai
97.21,0.178,0.304,0.289,0.257,0.35,0.299,0.256,0.287,0.554,0.268,0.101,0.162,0.176,0.178,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.33,0.18,0.309,0.291,0.262,0.355,0.304,0.259,0.291,0.562,0.27,0.103,0.162,0.177,0.18,0.133,0.129,0.13,0.135,0.125,0.099,Sai
97.23,0.179,0.307,0.29,0.262,0.354,0.303,0.256,0.295,0.576,0.282,0.101,0.161,0.177,0.179,0.132,0.129,0.13,0.134,0.124,0.099,Sai
97.21,0.181,0.307,0.291,0.259,0.354,0.303,0.256,0.294,0.567,0.276,0.103,0.162,0.177,0.181,0.131,0.127,0.13,0.131,0.123,0.099,Sai
97.41,0.181,0.31,0.294,0.263,0.356,0.304,0.258,0.294,0.574,0.279,0.103,0.161,0.177,0.181,0.133,0.13,0.133,0.135,0.125,0.102,Sai
97.25,0.179,0.305,0.288,0.257,0.351,0.301,0.256,0.289,0.568,0.28,0.101,0.16,0.175,0.179,0.131,0.127,0.13,0.131,0.123,0.099,Sai
97.3,0.18,0.307,0.29,0.258,0.35,0.3,0.254,0.29,0.565,0.276,0.101,0.161,0.177,0.18,0.131,0.128,0.13,0.134,0.125,0.099,Sai
97.25,0.178,0.307,0.29,0.261,0.35,0.301,0.257,0.29,0.562,0.275,0.102,0.162,0.175,0.178,0.131,0.128,0.13,0.134,0.125,0.099,Sai
97.26,0.178,0.308,0.292,0.261,0.354,0.303,0.258,0.294,0.566,0.273,0.103,0.162,0.175,0.178,0.133,0.128,0.13,0.134,0.124,0.099,Sai
97.22,0.181,0.308,0.293,0.262,0.353,0.303,0.258,0.292,0.565,0.274,0.102,0.162,0.178,0.181,0.133,0.129,0.131,0.134,0.124,0.099,Sai
97.27,0.18,0.307,0.291,0.261,0.353,0.303,0.257,0.293,0.572,0.281,0.103,0.163,0.177,0.18,0.131,0.128,0.13,0.134,0.125,0.102,Sai
97.37,0.18,0.309,0.292,0.261,0.356,0.304,0.259,0.293,0.569,0.278,0.104,0.163,0.178,0.18,0.133,0.13,0.132,0.135,0.125,0.102,Sai
97.26,0.178,0.304,0.289,0.258,0.35,0.3,0.256,0.292,0.571,0.282,0.102,0.161,0.176,0.178,0.131,0.128,0.13,0.134,0.125,0.101,Sai
97.27,0.178,0.305,0.288,0.258,0.35,0.299,0.256,0.284,0.557,0.274,0.103,0.16,0.174,0.178,0.132,0.128,0.13,0.134,0.125,0.099,Sai
